message;text
support;@TobinWilliamson Thanks for sharing your view.
policy;VA chief Shinseki has a lot to explain: Our view http://t.co/uZ6dxYus2i via @usatoday
mobilization;Stand up for your 2nd amendment rights by signing the petition at http://t.co/8wkqCIf4Zj. #stopatt
policy;SCOTUS gets it right and allows pro-marriage equality rulings to stand! Great day for justice for families in Virginia and 10 other states.
support;".@patriotmom61 I have voted against aid for Libya &amp; Egypt.  Must prioritize spending 4 US needs &amp; not 4 those countries who work against us."
support;Please DM me your number. I'd like to help. RT @CrankyNurseNJ: Animal control said they can't do anything either! WHO CAN HELP THIS POOR DOG
support;"Great news! Pease officially selected to receive new KC-46A tanker â€“ big win for NH jobs, economy &amp; natl security: http://t.co/swWzKgX1yt"
media;@LesWinan it isn't (you just tweeted us after all) so please feel free to add your voice to the conversation
attack;Three years ago, President Obama weakened this country and our economy with Obamacare. After spending more than $2... http://t.co/wgeOQHtnDc
information;.@KentuckyBAEO and Pastor Jerry Stephenson are working hard to promote school choice initiatives in #Kentucky.
policy;No Budget, No Pay is a common-sense idea: Members of Congress do not get paid until they do their job and pass a budget http://t.co/4ESemOHq
policy;#POTUS is not credible to determine the best interests of  #Israel: http://t.co/6Jyq2kV5
support;Congratulations to Mitchell Technical Institute and @LakeAreaTech on being named two of the 150 best community colleges by @AspenInstitute!
information;"Murray on 20wk abortion ban: ""No matter who introduces it, it is not going anywhere in the Senate"" http://t.co/wNA5B3LBdP #standwithwomen"
policy;Now we need to #StopTheSequester and pass a #BalancedBudget that puts #NY18 families back to work!
support;"POTUS: ""I am optimistic that we can get immigration reform done this year""."
policy;Read my statement on #EPA â€™s new rules for existing power plants here: http://t.co/WwIi2nEezc
other;This guy ... #CA49 http://t.co/ilntQltMX0
media;"ICYMI: @cnnkyra &amp;I discuss my legislation on @AC360 that will battle child sex predators in the workplace WATCH HERE: http://t.co/xW9V2l2VSl"
information;March 3rd is the deadline to apply for federal student aid. Visit http://t.co/T8tNG0GV and get started today. #FAFSA #Education
policy;U.S. can benefit from UAS technology without sacrificing our safety or personal privacy. This is a responsibility I take very seriously.
policy;Calling for hearing after recent train derailments. 21st century economy needs 21st century transportation network to protect communities.
constituency;I posted photos on FB from today's Mexican American Student Association celebration in the Bronx. http://t.co/wEkWTuGPob  @HispanicCaucus
media;Watch my speech on #MarketplaceFairnessAct here: http://t.co/CcwHx3cHWG
information;"RT @RayLaHood: New locomotive built by Americans; @USDOTFRA, any better way to celebrate Natl #Transportation Week? http://t.co/gsJ17ToMR2"
policy;"RT @comfoodjustice: ""We need to work towards a better definition of what 'rural' means"" @RepJimCosta #FairFarmBill #FarmBill"
policy;"Sen. Murray, ""...if you care about the deficit, you need to care about climate change."" http://t.co/aZt8Vr7TIV #ActOnClimate"
constituency;Getting our town hall meeting in Moapa Valley started! #nv04 http://t.co/kD3LzookiH
attack;What are the Presidentâ€™s real priorities? Put Americans back to work or please the narrow environmental lobby? http://t.co/bzRpaHtye3
policy;Spoke with students from Quincy High School's government classes this week on everything from the economy to ISIL. http://t.co/Sh4ShAzyHA
information;President Reagan, 26 years ago today: http://t.co/iUXtunG1jd
mobilization;RT @Cliff_Sims: .@SenShelby tees off on Obama administration: Itâ€™s time to say â€˜noâ€™ to illegals, enforce the law http://t.co/heRn8v8lwl viaâ€_
support;It took a nearly 13-hour filibuster, but congrats to @SenRandPaul for finally getting a response from the Administration #standwithrand
policy;And still violates #4thAmendment. RT @Gorman_Siobhan: House Intel Cmte restructuring of #NSA phone prgm sets up clash w/ Judiciary Cmte.
policy;Strengthening our nationâ€™s infrastructure is not a Democratic or Republican issue, it just makes common sense. My... http://t.co/iqJFJWyv3D
information;"Joined by Jeff Lennhardt, John &amp; Mitchell Murphy at #AndrewConnollyMakeADifferenceDay in Dubuque. http://t.co/5mPxAAwCfO"
information;Did you know closing White House tours is only 0.65% of the required cuts from sequester by Secret Service? http://t.co/SRJsW3wccd
media;I'll be on with @WeGotEd at 12:30 CST. Listen live here: http://t.co/WS19IDYqOD
information;In a few mins, I'll be on the House Floor arguing against a #GOPshutdown, telling House Rs #EnoughAlready. Tune in at http://t.co/6TalXBpX5u
attack;"You are wrong, Sir. Check your facts. @jpdtiga @AFPNC:  ""You &amp; most @gop congressmen caved &amp; voted for a tax increase on the wealthy."""
personal;RT @HouseAppropsGOP: Chairman @RepHalRogers thanks @US_FDA for its decision to prohibit generic, crushable OxyContin from coming to market â€_
attack;"@CerebralGuild drug testing can prevent truck drivers &amp; doctors endangering others, deter teens&amp; prevent welfare being used 4 drugs,"
personal;Proud to be an honorary member of @GreenMtnCollege Class of 2014! http://t.co/LHwQIeo0pz
policy;The #FarmBill includes language, I authored that states the #CWA was never intended to regulate water runoff on logging roads. #idpol
policy;Had the opportunity to talk education with some impressive Clemson student government members and faculty http://t.co/K0I8dwcm4z
support;Workers have used FMLA leave over 100 million times #WhatMothersNeed is #PaidFamilyLeave so more can use it to care for family
support;"â€œWI is full of John Millers â€“ ordinary people with ingenuity, determination &amp; civic spirit to become not just successful business owners...â€ù"
policy;"Pell grants &amp; student loans were what allowed my 6 siblings &amp; I to go to college after dad got sick &amp; had to leave his job #dontdoublemyrate"
information;John attended the 9/11 Remembrance Ceremony today on the Capitol Steps. Read his 9/11 statement here: http://t.co/jJZMk1As7j #remember911
attack;"@sschwarz07 OK. article U attached about so-called plight of Polar Bears proclaimed litany of ""could be"" horrible threats to bears, not real"
media;Watch @CSPAN live Tues as Senate Judiciary Committee holds hearing on constitutional amdt to #GetMoneyOut of politics. Start time 10:30am
policy;@izzysroses That is in your eyes, but if stated as fact U've made Ur whole case against prez suspect.
information;"Joined Pres. Obama &amp; colleagues today in Statuary Hall at dedication of Rosa Parks' statue. She refused to move her seat - &amp; moved a nation!"
policy;Please keep everyone in #Oklahoma in your prayers as they endure another day of severe weather and outbreaks of tornados.
policy;RT @BostonGlobe Editorial: Edward Markey is smart to advocate for fixing aging gas pipelines http://t.co/hI98480qoD
policy;@livecut @KatHeinemann @MaryBonoMack @DanaRohrabacher @DarrellIssa was mistaken. In debate Dem leaders declared tax rates NOT permanent
policy;"My tribal bills passed @NatResources today. Local control &amp; economic self determination preferable to fed managers http://t.co/CSxqtFJ8k1"
attack;"Sens. McConnell &amp; Paul engaging in a colloquy on Senate floor now on Obamacare's impact on Kentucky. Watch HERE.http://t.co/eCkqyGRE1C"
policy;RT @AppropsDems: .@SanfordBishop: If we don't address sequestration, long-term effects on our economy will be devastating.
support;Pleased administration followed through on my request w @SenatorCardin to release home energy assistance federal funds as winter approaches.
support;@ZiaYusuf great to meet you too. Enjoyed our discussion.
constituency;In case you missed it, a great story by @KPCC on the #CIRmeansjobs briefing I held this morning with @RepJeffDenham. http://t.co/BI99Xua8uU
policy;"41 years after #RoevWade, I am recommitting myself to passing laws that save the lives of unborn children &amp; protect women #prolife"
personal;Ready to work w/ @DarrellIssa to finish job of restoring Postal Service to long-term solvency. Committed to getting this done in the #113th.
personal;"On #VeteransDay, &amp; everyday,we must remember &amp;thank selfless #veterans who sacrificed so much 2 keep our nation safe https://t.co/taCqf2q0vr"
personal;LIVE NOW: Honored to be presiding over House debate today: http://t.co/UXdw9ULflM
support;"Happy to cosponsor legislation that would prevent knives on planes. .@TSA listened &amp; delayed knife rule change. http://t.co/aDljwCBQGX"
personal;@MatthewKalish You should have said hello.
policy;"Proud to stand with @Daddies &amp; all Oregon biz in the fight for #NoNetTax. New blog of my visit to @Daddies:  http://t.co/rtJoQSGRyP"
policy;Delaying #KeystoneXL could harm the environment. #Irony #TimeToDecide http://t.co/0Ggd8daRPS
information;Lots going on: come! @HouseForeign: Tomorrow: Subcommittee Hearing: #Lebanonâ€™s Security Challenges +U.S. Interests: http://t.co/iq5pmmyz5p
policy;Sen. Sessions fights for steel workers in Alabama @aldotcom: http://t.co/z2Y5SDbdfC
media;"STAFF: @RepGaramendi on House floor now talking about jobs &amp; tax policy. You can watch here: http://t.co/KI8p6Was #cspan"
policy;Chairman McCaul: In my judgment it has all the hallmarks of an act of terrorism, we just don't know who's behind it.
policy;More bad Obamacare news- http://t.co/eNxyAFbRde
support;"#GetCovered MT @WAplanfinder: Jessica in #Spokane has gone 2yrs w/o her meds &amp; but is now enrolled via @WAplanfinder http://t.co/3tKUWdkLU5"
information;Regrettably, the House failed to approve its proposal for a new #FarmBill. Frankly, I was shocked by the outcome. http://t.co/6wSv6Dek9A
mobilization;.@PSCSpeaks Thanks for folks' participation in this event. We will continue to do more on this front.
support;"@senatorisakson we've done our part in the House. #GA09 is with you when you #standuptoReid; pass the CR to #defundObamacare. #SenateMustAct"
information;Tim Howard, @USSoccer played a strong half.  Need to make sure we take advantage of quality looks on offense.  #TeamUSA  #Ibelieve #USMNT
information;"@melodyvacc you can learn more about the bill here &gt;&gt; http://t.co/w1cDb2zS8t"
constituency;Plaza Colombia celebration will be on Saturday and Sun Life Stadium celebration will be on Sunday. #Colombia #Miami
information;On this day day in 1964 the Civil Rights Act was signed into law..https://t.co/fEnfMzUr1B
personal;Sorry, @inspectorlawyer, death threats don't scare me. Get plenty of those. The keystroke is mightier than the sword.
support;"I posted 5 photos on Facebook in the album ""Voting Right Rally on the Steps of the Supreme Court"" http://t.co/geD7MvKZtm"
personal;RT @AllDailyRepNews: Garamendi backs bills on flood rules, insurance rates http://t.co/AqGT69dw5F
policy;"RT @SenJohnThune: Applaud House passage of bill to approve #KeystoneXL. President has blocked the project &amp; its 20,000 #jobs for 1,706 days."
personal;May we all take time to reflect on our blessings and spend time with friends and family these next few days. Merry Christmas.
attack;#Obamacare to insure 2 million fewer than previously estimated according to CBO: http://t.co/2dxMteFOm5 #trainwreck #brokenpromises
information;Update: Las Vegas man vandalizes El Paso billboards - KFOX - El Paso Top Stories: http://t.co/vNuS12N79k
mobilization;Our operations on the ground don't come free. Help keep this campaign firing on all cylinders: http://t.co/ARBpZ8YcF4
support;"McConnell: ""My constituents in #Kentucky will not accept a tax hike in place of spending cuts already agreed to by both parties."" #Sequester"
other;Thanks, I'm proud of Srtanford. Congrats though to all the Michigan St. fans RT @MichaelPacholek Tough loss but good season for Stanford.
information;The right to vote is a cornerstone of democracy. Reaffirm your right by making sure youâ€™re registered: http://t.co/WwRICC5HlZ #CelebrateNVRD
information;Every day researchers are getting closer to finding treatments and a cure for #Alzheimers Great job by @Harvard   http://t.co/35Zt2nX5AE
personal;The 20th is Western Caucus day. Proud to lead a Caucus that's been fighting for the #West for 20 years! Follow them @westerncaucus.
support;Excited for @BarackObamaâ€˜s #MyBrothersKeeper initiative- important effort to expand opportunity for young men of color throughout nation
policy;ICYMI I was on @msnbc with @tjholmes on Saturday, talking about the situation in Iraq http://t.co/aP198VweCX
personal;17 billionth barrel of oil entered TAPS this weekend. Thx @AlyeskaPipeline and the countless individuals fueling this vital AK lifeline
support;Not One More Cent should be spent on #ObamaCare.  Sign the petition if you agree -â€_ http://t.co/09ukxEjDvT
information;Today we remember those brave individuals who lost their lives in the attack on #PearlHarbor http://t.co/tOGmj4nqvL
policy;Last #Congress I introduced a bill to address teen pregnancy w/ @SenatorBoxer http://t.co/toFz4tFmOp #latinachat
information;If it wasnâ€™t for the commitment of unions, we would not have a min. wage, a 40/hr workweek or workplace safety standards. #HappyLaborDay
information;Just finished talking about @NoLabelsOrg and making government work through bipartisanship on @KUSI_News http://t.co/H1yggSOQ6J
information;.@MLive - Huizenga invokes Bill Clinton, MLK in inaugural statement http://t.co/eXF81IhC
information;RT @rmazetns: #HASC NDAA includes provision requiring services to have body armor specially designed for women, sez @RepMikeTurner
support;Hard to hide responsibility for #HarryReidsShutdown if Senate rejects House passed bill to to open national parks https://t.co/78Dw9YGU1q
personal;Congrats to @SolonSchools' scholarship recipients -- my staff presented them with proclamations at today's @SolonChamberOH lunch. #OH14
policy;Indeed. MT @RepMaloney: New 9/11 study: 15% higher cancer rate for 1st responders -- why #Zadroga Act is necessary. http://t.co/1mM8dHu7SN
policy;Introduced @SenatorMenendez at his community forum on US policy in India feat. Asst. Sec. of State Nisha Disai Biswal http://t.co/xCXHpEtfDE
personal;Jody Walters and her son, Kaden Perrin, visited me today to talk about dyslexia education and screening. @DDWV12 http://t.co/3Of68vLXhc
constituency;Excited to hear Lowe's is bringing a new customer support center to Indy. Nice to see #IN05 attracting new jobs! http://t.co/RwKWwmGk2G
personal;"Deeply saddened to learn of my friend @FrankLautenberg's passing. Frank, a WWII Veteran, was truly a fighter &amp; I was proud to work with him."
support;I had a great meeting with a group of DC interns from the University of Alabama today! http://t.co/QyL6fsKYqv
information;RT @Reuters: U.S. nurse who had Ebola is virus free: health officials http://t.co/749zco3eti
policy;@theCnSunion I couldnâ€™t agree more. We are starting to see progress but I fully support a new bridge.
attack;#SpendingIsTheProblem: EPA has given $100 million+ in grants to foreign countries over the last 10 yrs http://t.co/vGfPRgdOiM #CutWaste
information;"Watch now: Speaking on my amendment to HR10 to increase accountability &amp; transparency for students in charters: http://t.co/O10zUU59No"
policy;I join the rest of the world in offering my condolences to the family of Nelson Mandela. The world was a better place for having him in it.
support;My statement on the Senate passing #RenewUI. I urge @SpeakerBoehner to bring this bipartisan bill to a vote this week http://t.co/FUybvhRZJ4
information;Today I voted for sunsetting 2001 Authorization or Use of Military Force (AMUF), but rejected by vote of 191-233
policy;The administration's unlawful exception for D.C. insiders was asking for a lawsuit, says Heritage Foundation.  http://t.co/R6CCngjSe8
policy;Watch my remarks on #HRes573, the bipartisan resolution condemning the Nigerian girlsâ€™ abduction. #BringBackOurGirls http://t.co/GD2RxYChFA
mobilization;Hazlet Business Owners Association sponsoring food drive in #Keansburg, #NJ through 2/28 - to help call 732.888.8118
personal;Enjoyed meeting w/ the @CloseUp_DC group from Brandon Valley today. http://t.co/GX3s70NoH0
media;"VIDEO: My remarks during today's Ways&amp;Means Oversight hearing re: #Taxes &amp; #HealthcareLaw http://t.co/eZq8pPuTqI @WaysandMeansGOP"
information;"""U.S. Archivist Tells Oversight Committee The IRS â€œDid Not Follow The Lawâ€ù @BuzzFeed http://t.co/u7158Up1pP #pjnet"
personal;"Joined onstage by @amyklobuchar Sen. Tom Harkin &amp; @iowademocrats Chair Scott Brennan at JJ Dinner in DM. @TeamBraley http://t.co/WWeVBS3uFl"
support;Wishing Ginny Hildebrand from @AAFB the best in retirement and grateful for her 28 years of service.
other;.@PattyMurray Unfortunately for RSherman_25, there are no 'sorry receivers' on the @Broncos. #sb48 #sorrynotsorry
personal;Happy Birthday, President John Adams. America's first Vice President, second President and a true patriot. http://t.co/LYbA6Ouwx7
personal;@pautrat_cecilia Call my office tomorrow and see if we can be helpful: 973 639 8700
information;"(AP)  South Africa's president says Nelson Mandela has died at age 95. Jacob Zuma says ""we've lost our greatest son."""
support;"I applaud the @FCC for its on-going efforts to investigate &amp; resolve long distance call failures in rural areas. http://t.co/0D4v6V3OVX"
information;.@MikkiJenson b/c if Syria uses CW w/o any response from intâ€™l community, what would prevent Iran or North Korea from the same? #AskHeidiH
policy;Higher medical costs are forcing more Americans to go without care. @GallupNews: http://t.co/J6eOuyngDl #Obamacare #BrokenPromises
support;"RT @PeaceCorps: TODAY: Acting Director CHR at @SalemState w/ @RepTierney @SSUPresidentPat &amp; PCV @SamanthaKinney to talk PC service http://tâ€_"
mobilization;Spent my career working to #StregthenMH. Now is the time for compromise. Not for thoughtless, divisive attacks http://t.co/9VmU09iswE
policy;My statement on today's jobs report: http://t.co/Qpy09G3zoZ
personal;It was a honor to be there, thanks for having me RT @copeland_ted: @DesJarlaisTN04 thanks for coming to NGAT
support;Take a look at my press releases this week: #FIU #Israel #FPL #OrganAndTissueDonation #Cuba #FreedomFighters http://t.co/HX1TuzbD3d
media;Check out my latest interview with @gretawire on #IRSscandal, Lois Lerner's BlackBerry http://t.co/kJ7YddkElR @FoxNews #tcot
information;RT @rosadelauro: Great to be with so many strong women talking about how the affordable care act is helping millions http://t.co/jfcfEYC5CO
policy;Cut funds appropriated for USDA's wasteful and inefficient CFO and redirected to the efficient Inspector General. http://t.co/6g5IeW6FVl
policy;My first visit to Broadview greatly informed my understanding of the pain caused by #deportations. Iâ€™m glad Sec. Johnson saw it for himself.
media;About to unveil the UNITE Hope Wall... http://t.co/5Hi9uPuPFs
information;Also, happy 239th birthday to the @USArmy and all who have served!
policy;On this 50th Anniversary of the #MarchOnWashington, take a few minutes to read #MLKâ€™s inspiring words: http://t.co/wbq38U6PPV #MOW50
personal;I enjoyed visiting the Best Buy Distribution Center in Ardmore last week. http://t.co/83fPomwSHd
personal;To 819th Engineer Co. of #AZ National Guard deployed last week for #Afghanistan, thank you for your service  http://t.co/EGu4DMaI
policy;ICYMI: Veterans in 9 cities have to wait more than a year for claims to be addressed via @PostReid http://t.co/1cF1lNRC0s
personal;"RT @HouseCommerce: #NotReadyForPrimeTime: ""Itâ€™s become clear that the admin needed more time to build the exchanges."" http://t.co/tniBLZhMAâ€_"
support;Thanks, @LorettaSanchez, for supporting HR 4351, the Alzheimerâ€™s Accountability Act. Together we're making it a top priority! #ENDALZ
mobilization;@BarackObama's latest #Keystone delay hurts Montana jobs. No more excuses -- it's #TimeToBuild http://t.co/aEvKDFFwta
personal;Excited to be going to the @boyscounts #2013Jambo in West Virginia this weekend with other Scouting Caucus members. http://t.co/uDeUs4ZJO5
policy;ICYMI: This weekend Al and US Ag Sec. Vilsack highlighted the importance of passing a long-term #FarmBill  http://t.co/9PqotR5IH8
support;Our economy could lose 40,000 #STEM grads if don't pass #CIR #CostOfInaction http://t.co/hdHsoKLmdP
personal;@DAVIDCARROLL3 @TNAquarium have to agree with the groundhog. Looking forward to seeing fellow #Vol Peyton lift the Lombardi Trophy.
policy;Itâ€™s PAST time to #BringBackOurMarine Sgt. Tahmooressi. #PJNET http://t.co/nXpJpdXUve
personal;"Couple wks ago I had a great dinner @ #GrandForks @olivegarden with my friend &amp; @gfherald columnist Marilyn Hagerty. http://t.co/JWQd7BJKkk"
media;Watch the @FinancialCmte hearing on the #FHA LIVE: http://t.co/aMg3Cc8QU9
policy;"Iâ€™m disappointed that the AG has chosen to blatantly disregard the Supreme Courtâ€™s recent ruling &amp; the basic principles of federalism. #TX"
personal;I was thrilled and honored to speak at the Education Panel for the National Action Network's 1stâ€_ http://t.co/FMNdlrTzUl
information;Bucks County businesses raise awareness of local economy http://t.co/uPdynLI9a0
policy;Welcome to today's #Path2Cures roundtable: @SecBurwell @NIHDirector @US_FDA @fastercures @FIRSTweets @Mpiresearch_cro @CoCancerCenter
policy;@politifactri debunks the myths about #Obamacare http://t.co/gfIUrdKuvI
other;Great to see Niagara Falls make the @NYTimes list of 52 places to go in 2014: http://t.co/kERYH0SkHC.
support;"Join me &amp; #ThankATeacher for their service to our kids &amp; communities this week during Teacher Appreciation Week http://t.co/rGWkozxjKf"
media;"Watch me talk about the #ACA tonight at 7:30 on @Hardball, at 9:00 on @PiersMorganLive &amp; at 9:30 with @megynkelly"
policy;You can read my full letter to Sec Sebelius here: http://t.co/KF4UJes5PW
information;"MT: @virginiafoxx: #FF #SkillsAct Cosponsors: @RepKenMarchant, @BuckMcKeon, @RepLukeMesser, @DrPhilRoe, @RepMattSalmon, @RepSteveStivers..."""
personal;Great to have @Spotify available in the Capitol again! #LetTheMusicFlow
support;Today I attended a dedication honoring Braintree veterans who served in the Middle East since 1990. #ThankYouVeterans http://t.co/zBgm8hOFex
policy;April '13: 165,000 new jobs under Obama (http://t.co/7z1gfe70GG) Sept. '83: Over 1 million new jobs under Reagan (http://t.co/hnU3mDd7BL)
media;Sen Ayotte joins @SenatorCollins @lisamurkowski on @todayshow momentarily to talk latest on fiscal negotiations
media;I will be on The Real Story with Gretchen Carlson on @FoxNews, today at 1 p.m. CT, with the latest on VA Delays in Care. @HouseVetAffairs
mobilization;#TBT RT @TheDemocrats: What can you do for your country? Rise to the challenge to celebrate JFK's birthday today. http://t.co/rljhD6QSuh
policy;"Final Countdown:12 Days until the President's Annual #Budget &amp; #TribeOpener -Hoping for good outcomes from both #OH16 http://t.co/OV5bNYZkDR"
personal;"Oelwein is the ""Home of the Huskies,"" but Lucky is Top Dog at Oelwein Health Care Center. http://t.co/R6x73lj12Y"
support;RT @AARP: We have Sen. @MikeCrapo in our radio booth talking with @AARPIdaho and @AARP members in Idaho. http://t.co/Rcc61uXx4B
personal;".@USArmy Veteran Carl Wilson served in WWII. He's an Evanstonian &amp; he's 101! Thank you for your service! #VeteransDay http://t.co/LXTfYdAOR6"
personal;Wishing the Virginia Muslim community a blessed and very happy Eid al-Fitr celebration!
information;LIVE: #CTE Caucus briefing on narrowing the skills gap in America https://t.co/sAUALf3Hmn
constituency;"Today in 1889, the Constitution of WY was adopted #WyoHistory. Constitutional delegates &amp; friends on capitol steps: http://t.co/hln8q9kPlh"
policy;VOTE Alert: I voted for HR 3979, National Defense Authorization Act, passed 300-119 http://t.co/N3fwxffnQ2
policy;As I review the details of todayâ€™s jobs report, I'm deeply concerned about the impact of ObamaCare on full-time jobs: http://t.co/iy4e3YYkkK
personal;Thank you! RT @RepGwenMoore: Happy birthday to my friend and our @FSCDems ranking member @MaxineWaters!!!
information;"Mobile Office Hours today: 10am-12pm at Meadow Lake Senior Center in Los Lunas &amp; 1-3pm at Placitas Library. More info http://t.co/241j9ssx0M"
policy;GOP wants tax breaks for oil and coal companies, but wants to give the jobless looking for work a lump of coal https://t.co/zH3oylIEDY
support;Congrats to @RepJoeHeck for being selected for a well-deserved promotion to brigadier general! http://t.co/a67zMN1fz4
support;"Sen. @MaryLandrieu fights every day for Louisiana &amp; I need her fighting by my side in the U.S. Senate. #ImWithMary http://t.co/zIoB7O6Fbz"
policy;"""Its not titles that honor men but men that honor titles."" Thank U NJ &amp; all that put trust in me. I'll work everyday 2 honor this new office"
support;"Plan a trip to Boyd Hill Nature Preserve &amp; Lake Maggiore in S @StPeteFL - Thanks @StPeteFL Parks&amp;Rec! @stevekornell http://t.co/GAumpu9P8s"
policy;WSJ editorial: Blurred Red Lines -- http://t.co/VKDkJVBKeC via @WSJ
information;Saturday, Claire hosted a celebration for local @Amtrak volunteers in Kirkwood, #MO for 10 years of service! Pics: https://t.co/nvicADgYWq
information;On my way to speak on the Senate floor on moving forward on the budget. Tune in here: http://t.co/Psfwfw7d0d
support;We are close to a huge victory for all #women. I applaud those in House #GOP who are ready to help us over the finish line. -PM #VAWA
personal;"Paul Ryan explains his ""fiscal cliff"" vote"
information;3,500 Delawareans, including 1 in 50 African Americans in New Castle County, has HIV. #GetTested http://t.co/TtdOYv2Ddv #NHTD
policy;Former #IRS Commissioner Shulman had more public White House visits than any cabinet member http://t.co/qIBDxT1avk
policy;RT @SpeakerBoehner: Delivering a speech today @AEI based on ideas that didn't come from Washington: http://t.co/qZcTBs9VuI  #5pts4jobs
mobilization;In light of the allegations that #Syria used chemical weapons on its people, what do you think the US response should be, if any?
personal;Inauguration Breakfast - Last Chance https://t.co/GzJB7wEw
policy;.@DOTInspectorGen: More work to do to make sure our nationâ€™s bridges are safe. http://t.co/LQY1jPLoRl Congress should pass SAFE Bridges Act.
personal;To learn how to intern with my office and to apply for a Fall internship in D.C. or California, click here: http://t.co/bD3McJhvin
information;"The #IRS claims it has ""lost"" emails from former Commissioner Lois Lerner and six more employees. http://t.co/AjLGRmVmR4"
media;Happening now: Sen. Sanders is on @msnbc talking health care with @WeGotEd.
information;@BiggerPictureMN yep
information;#TaxDay Fact: Americans spend 6 billion hrs preparing their taxes each yr. How many hrs did you spend? #MN03 #Time4TaxReform
support;.@NitaLowey to Sec. of State John Kerry:  We can't make progress on int. priorities if children grow up w/out basic literacy skills.
personal;"Thanks 2 @Interior @SecretaryJewell 4 joining us @ #OMDP4NM public mtg in #LasCruces; appreciate #DoÃ±aAnaCounty residents 4 coming"
policy;"Proud to intro HR 2775, No Subsidies Without Verification Act, which protects taxpayers from Obamacare fraud &amp; abuse http://t.co/1l2f08ZEqs"
personal;It's a frigid 25 degrees but feels like -2 degrees below zero in DC yet there are thousands of dedicated prolife heroes here. #whywemarch
personal;We shall pray!â€œ@antunezcuba: 8:27 pm, info Damaris desde el hospital q Luis Enrique estÃ¡ presentando fuertes dolores precordiales.#cubaâ€ù
personal;Congrats @mentorschools Jacob Pollack on achieving the rank of Eagle Scout! @boyscouts http://t.co/8ULjTHpYB6
policy;"We heard POTUS talk about jobs &amp;the economy today, but he offered the same stale rhetoric. We need fresh, bold ideas. http://t.co/DBIxf9oOxD"
policy;"My Q&amp;A about FDIC high risk merchant guidance &amp; DOJ involvment from @HouseJudiciary hearing--WATCH: http://t.co/OT75yPZceh #ChokePoint"
policy;Tell Speaker Boehner: It's time to vote on the Senate bill to end the GOP shutdown. #justvote
constituency;Attention students in South Carolina: Congressional Art Competition Deadline is approaching @GoUpstate http://t.co/kC3Lgpo62X
policy;Why #SkillsAct? Because this is confusing (http://t.co/Uo5WNwmm2N).
policy;Iâ€™m tired of the rubber stamp for #NSAâ€™s surveillance tactics so I'm co-sponsoring a bill to tighten their standards http://t.co/P8NlOCifz4
constituency;@CMT_82 thank you, great group!
support;@bdcory @repjustinamash @RepThomasMassie why?
information;Happy to be address a good group in #Fairviewpark always good to be in #Cuyahoga County #OH16 http://t.co/SIqpphZuyS
media;I talked with @MitchellReports this afternoon about President Obamaâ€™s plan to confront ISIL. Watch here: http://t.co/LBbaxaOMfv
personal;"Stopped by @AveMariaLaw earlier this afternoon to talk to students &amp; faculty about issues imp to them #FL25 http://t.co/IZ2kNFGl41"
policy;"Progress, but still not fixed --&gt; New data show long wait times remain at many VA hospitals http://t.co/HMWG0Yxc8t"
support;ICYMI: Tues. on #Kauai, Rep. Tulsi Gabbard discussed local/nat'l issues @ a #TulsiInYourTown event: http://t.co/dOcmRUAnW4 @thegardenisland
attack;.@FreeBeacon story on @WhiteHouse's #Benghazi spin is a reminder of why we need a select committee. #HRes36 http://t.co/nsZmfPCaJl
information;RT @bennyjohnson: 21 Really Cool Fact About The U.S. Capitol You Probably Didnâ€™t Know http://t.co/6tUlYxgfU2 via @buzzfeedpol
information;Enjoyed discussing important issues like the Older Americans Act with seniors at Parkway Center in Utica. #NY22 http://t.co/5NBZ6mIxtP
policy;Americans need #Obamacare delay. @DrPhilRoe came up w/ #ABetterWay. Find info on American Health Care Reform Act: http://t.co/WEcSXqGawE
support;Wishing all those who celebrate a Happy #Diwali!
information;@KylaCampbellDC 7:00 PM PST
media;RT @rollcall: Ban BPA and Other Toxic Chemicals | Commentary via @MarkeyMemo, @RepLoisCapps @RepGraceMeng:  http://t.co/U7L106nDuh
personal;ICYMI, @TheDemocrats are diving into fixing the problems we had on Tuesday night. Watch: http://t.co/kujKKH5PFb
information;"For months #petcoke piles have been uncontained &amp; now we are facing problems of dust and contaminated stormwater. http://t.co/p8jWiAEshk"
personal;Speaking at the @AHRI_connect public policy symposium. It's great to be here. http://t.co/L7Qwbsa2Vz
policy;Well. This is awkward. http://t.co/7KiiuUO1NY cc: @WhiteHouse
policy;Beef checkoff operates best when it is run by producers and with the support of those throughout the beef industry. http://t.co/SG0YtJafjL
support;I applaud #POTUS for using legal authority to improve our broken immigration system, but only #Congress can provide #CIR #ImmigrationAction
policy;Irony: candidates opposing minimum wage win, but so does minimum wage win. Not bad day for low wage workers. http://t.co/pjhp7YJEF5
personal;Honored to be the CA House Dem Caucus representative at the @CA_Dem #eboard mtg. http://t.co/CfQjLM6bTw
support;Have to go now thanks for the questions. - lg
media;Spent much of the morning talking to radio across #MO8 about the new meetings dates for the ONSR Gen Management Plan. http://t.co/eB3RcnUZh1
personal;Congratulations to Bend golfer Jesse Heinly for winning the #USAmateur http://t.co/NF2d7t6xWd
support;RT @USCISMediaNYNJ: Stanley Bussi with his 5th grade students and @RepGraceMeng moments after his naturalization. #FieldTrip! http://t.co/iâ€_
